canonical	match_variants	file	type	thumbnail
keypress, keystroke	,keypress,keystroke,	K.md	clarify	See Keys and keyboard shortcuts term collection.
kilobit, Kbit	,kilobit,kbit,	K.md	clarify	See Bits and bytes term collection.
kilobits per second, Kbps	,kilobits per second,kbps,	K.md	clarify	See Bits and bytes term collection.
kilobyte, KB, K, K byte, Kbyte	,kilobyte,kb,k byte,kbyte,	K.md	clarify	See Bits and bytes term collection.
kilobytes per second, KBps	,kilobytes per second,kbps,	K.md	clarify	See Bits and bytes term collection.
kilohertz, kHz	,kilohertz,khz,	K.md	clarify	See Units of measure term collection.
knowledge base, Knowledge Base	,knowledge base,	K.md	format	Title-case for Microsoft Knowledge Base; lowercase for generic references.
labeled, labeling	,labeled,labeling,labelled,labelling,	L.md	format	Use one l, not two.
laptop	,laptop,	L.md	clarify	See Computer and device term collection.
later	,later,below,	L.md	clarify	Use "later" instead of "below" in cross-references; OK to use "or later" for software versions.
launch	,launch,	L.md	subst	Don't use to mean opening an app or form. Use "open" instead.
lay out, laid out, layout	,lay out,laid out,layout,	L.md	format	"Lay out" as a verb, "laid out" as past tense, "layout" as a noun for the result.
leading	,leading,	L.md	clarify	Use instead of "preceding" or "beginning" in phrases like "leading slashes" or "leading spaces."
leave	,leave,	L.md	subst	Don't use to refer to closing an app or program. Use "close" instead.
left align, left-aligned	,left align,left-aligned,	L.md	format	Always hyphenate "left-aligned." Don't use "left-justified."
left justify, left-justified	,left justify,left-justified,	L.md	subst	Don't use. Use "left-aligned" instead.
left mouse button	,left mouse button,	L.md	clarify	See Mouse and mouse interaction term collection.
left, leftmost, left-hand	,left,leftmost,left-hand,	L.md	format	Don't use "left" alone as a directional term; use "upper left," "lower left," etc. Don't use "left-hand."
legacy	,legacy,	L.md	subst	Don't use for previous product versions. Use "previous," "former," or "earlier" instead.
legal	,legal,	L.md	clarify	Use only for matters of law; don't use to mean "valid."
less vs. fewer vs. under	,less,fewer,under,	L.md	clarify	Use "less" for mass amounts, "fewer" for countable items; don't use "under" for quantities.
let, lets	,let,lets,allows,enables,	L.md	subst	Don't use "lets," "allows," or "enables" for what Microsoft makes possible; focus on the customer.
leverage	,leverage,	L.md	subst	Don't use as a verb. Use "take advantage of" or "use" instead.
license terms	,license terms,	L.md	clarify	See Microsoft Software License Terms.
line	,line,	L.md	subst	Don't use for a series of related Microsoft products or services. Use "family" instead.
line of business, line-of-business	,line of business,line-of-business,lob,	L.md	format	Lowercase. Don't hyphenate as noun; always hyphenate as adjective. Don't abbreviate as LOB.
link	,link,	L.md	clarify	See hyperlink.
list box	,list box,listbox,	L.md	format	Two words. Refer to a list box by its label and "list," not "list box."
load	,load,	L.md	conditional	Don't use as synonym for start, install, run, set up, or download. OK for technical use of loading into RAM.
lock	,lock,	L.md	clarify	See Security term collection.
lock up	,lock up,lockup,	L.md	subst	Don't use for hardware failure or unresponsive programs. Use "fail" or "stop responding."
log on, log off	,log on,log off,log in,login,log into,logon,log onto,log out,logout,	L.md	subst	Don't use any log on/off variants. Use "sign in" or "sign out" instead.
low-resolution	,low-resolution,lo-res,	L.md	format	Always hyphenate. Don't abbreviate as "lo-res."
lower	,lower,	L.md	subst	Don't use to indicate product version numbers. Use "earlier" instead.
lower left, lower-left, lower right, lower-right	,lower left,lower-left,lower right,lower-right,bottom left,bottom right,	L.md	format	Hyphenate as adjectives. Use instead of "bottom left" and "bottom right."
lowercase	,lowercase,lowercased,	L.md	format	One word. Don't use "lowercased." Don't use as a verb.
